Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
3G;Nokia N8;840;1117900;1081900;1081900;1081900;1081900;1081900;;;;;;;;;;;;;
3G;Nokia X3-02;881;378900;342900;342900;342900;342900;369900;;;;;;;;;;;;;
3G;Planta 2N Easy Gate Pro;1351;ND;576900;576900;576900;576900;622900;;;;;;;;;;;;;
3G;Planta Interconexion PBX 2N;70;ND;352900;352900;352900;352900;380900;;;;;;;;;;;;;
3G;Samsung  Galaxy Ace 4 Neo DS;1584;135900;97900;100900;103900;ND;ND;;;;;;;;;;;;;
3G;Samsung  Galaxy Ace 4 Neo DS Blanco;1585;135900;97900;100900;103900;ND;ND;;;;;;;;;;;;;
3G;Samsung CH@T 527 -S5270;1084;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung Erica E3300L;1083;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace 2 Azul;1126;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace 2 Azul Camiseta Selección Colombia;1324;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace 2 Blanco;1127;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace 2 Blanco Camiseta Selección Colombia;1328;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace 4 Lite DS;1461;241900;205900;211900;217900;230900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace 4 Lite DS Blanco;1462;241900;205900;211900;217900;230900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Ace S5830;921;95900;59900;90900;90900;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Chat B5330;1090;350900;314900;314900;314900;314900;339900;;;;;;;;;;;;;
3G;Samsung Galaxy J1 Mini;1695;347900;311900;318900;318900;318900;318900;;;;;;;;;;;;;
3G;Samsung Galaxy J1 Mini Blanco;1696;347900;311900;318900;318900;318900;318900;;;;;;;;;;;;;
3G;Samsung Galaxy Music;1117;410900;374900;374900;374900;374900;404900;;;;;;;;;;;;;
3G;Samsung Galaxy Nexus GT-I9250;1037;1092900;1056900;1056900;1056900;1056900;1184900;;;;;;;;;;;;;
3G;Samsung Galaxy S III;1063;295900;259900;906900;906900;906900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy S III Blanco;1065;295900;259900;906900;906900;906900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy S III Mini Azul;1115;333900;293900;302900;311900;328900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy S III Mini Blanco;1116;333900;293900;302900;311900;328900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy S III Negro;1101;295900;259900;906900;906900;906900;ND;;;;;;;;;;;;;
3G;Samsung Galaxy S4 Blanco;1145;645900;609900;918900;918900;918900;1024900;;;;;;;;;;;;;
3G;Samsung Galaxy S4 Negro;1144;645900;609900;918900;918900;918900;1024900;;;;;;;;;;;;;
3G;Samsung Galaxy S4 Zoom;1216;954900;918900;918900;918900;918900;1004900;;;;;;;;;;;;;
3G;Samsung Galaxy Trend Lite;1340;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Trend Lite Blanco;1341;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Y;976;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Young Azul;1123;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung Galaxy Young Blanco;1124;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Samsung GT-B5510 Galaxy Y Pro;998;300900;264900;264900;264900;264900;ND;;;;;;;;;;;;;
3G;Samsung GT-I9100 Galaxy S II;933;195900;159900;164900;168900;178900;ND;;;;;;;;;;;;;
3G;Samsung GT-I9220  Galaxy Note;1038;1188900;1152900;1152900;1152900;1152900;1152900;;;;;;;;;;;;;
3G;Samsung Omnia W;999;640900;604900;604900;604900;604900;675900;;;;;;;;;;;;;
3G;Sony  Xperia U;1064;509900;473900;473900;473900;473900;511900;;;;;;;;;;;;;
3G;Sony Ericcson Arc Sayame LT18A;1034;1121900;1085900;1085900;1085900;1085900;1172900;;;;;;;;;;;;;
3G;Sony Ericcson X10 Mini;814;741900;705900;705900;705900;705900;712900;;;;;;;;;;;;;
3G;Sony Ericcson Xperia  Play;1008;1099900;1063900;1063900;1063900;1063900;1148900;;;;;;;;;;;;;
3G;Sony Ericsson X10;773;1437900;1401900;1401900;1401900;1401900;1513900;;;;;;;;;;;;;
3G;Sony Xperia E;1140;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Sony Xperia E1;1342;184900;148900;150900;150900;150900;ND;;;;;;;;;;;;;
3G;Sony Xperia E1 Blanco;1343;184900;148900;150900;150900;150900;ND;;;;;;;;;;;;;
3G;Sony Xperia M;1190;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Sony Xperia M Blanco;1209;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Sony Xperia M Blanco Camiseta Selección Colombia;1321;91900;55900;57900;58900;ND;ND;;;;;;;;;;;;;
3G;Sony Xperia Tipo;1078;285900;249900;249900;249900;249900;ND;;;;;;;;;;;;;
3G;Sony Xperia ZL;1142;1176900;1140900;1140900;1140900;1140900;1231900;;;;;;;;;;;;;
3G;Yezz Andy 5.0 E;1571;288900;169900;174900;179900;189900;ND;;;;;;;;;;;;;
3G;Yezz Andy 5.0 E;1579;288900;169900;174900;179900;189900;ND;;;;;;;;;;;;;
3G;Yezz Andy 5.0 E Blanco;1578;288900;169900;174900;179900;189900;ND;;;;;;;;;;;;;
